Unnamed: 0,title,votes,date,word,lemmas
656.3,"Forslag til afholdelse af folkeafstemning om Danmarks tilhørsforhold til Den Europæiske Union, EU",3868,2020-09-22,danmarks,danmark
656.4,"Forslag til afholdelse af folkeafstemning om Danmarks tilhørsforhold til Den Europæiske Union, EU",3868,2020-09-22,tilhørsforhold,tilhørsforhold
656.5,"Forslag til afholdelse af folkeafstemning om Danmarks tilhørsforhold til Den Europæiske Union, EU",3868,2020-09-22,den,den
656.6,"Forslag til afholdelse af folkeafstemning om Danmarks tilhørsforhold til Den Europæiske Union, EU",3868,2020-09-22,europæiske,europæisk
656.7,"Forslag til afholdelse af folkeafstemning om Danmarks tilhørsforhold til Den Europæiske Union, EU",3868,2020-09-22,union,union
656.8,"Forslag til afholdelse af folkeafstemning om Danmarks tilhørsforhold til Den Europæiske Union, EU",3868,2020-09-22,eu,eu
657.0,Det skal være lovpligtigt at bruge en godkendt cykel- eller høvdingehjelm til alle åbne køretøjer på offentlig vej undtagen bil.,342,2020-09-29,det,den
657.1,Det skal være lovpligtigt at bruge en godkendt cykel- eller høvdingehjelm til alle åbne køretøjer på offentlig vej undtagen bil.,342,2020-09-29,lovpligtigt,lovpligtigt
657.2,Det skal være lovpligtigt at bruge en godkendt cykel- eller høvdingehjelm til alle åbne køretøjer på offentlig vej undtagen bil.,342,2020-09-29,bruge,bruge
657.3,Det skal være lovpligtigt at bruge en godkendt cykel- eller høvdingehjelm til alle åbne køretøjer på offentlig vej undtagen bil.,342,2020-09-29,godkendt,godkende
657.4,Det skal være lovpligtigt at bruge en godkendt cykel- eller høvdingehjelm til alle åbne køretøjer på offentlig vej undtagen bil.,342,2020-09-29,cykel,cykel
657.5,Det skal være lovpligtigt at bruge en godkendt cykel- eller høvdingehjelm til alle åbne køretøjer på offentlig vej undtagen bil.,342,2020-09-29,høvdingehjelm,høvdingehjelme
