"","title","votes","date","word"
"16","Etablering af et pilotprojekt i Danmark med formål at undersøge mulighederne for i fremtiden at indføre basisindkomst (borgerløn) for alle.",1062,2018-02-06,"etablering"
"16.1","Etablering af et pilotprojekt i Danmark med formål at undersøge mulighederne for i fremtiden at indføre basisindkomst (borgerløn) for alle.",1062,2018-02-06,"pilotprojekt"
"16.2","Etablering af et pilotprojekt i Danmark med formål at undersøge mulighederne for i fremtiden at indføre basisindkomst (borgerløn) for alle.",1062,2018-02-06,"danmark"
"16.3","Etablering af et pilotprojekt i Danmark med formål at undersøge mulighederne for i fremtiden at indføre basisindkomst (borgerløn) for alle.",1062,2018-02-06,"formål"
"16.4","Etablering af et pilotprojekt i Danmark med formål at undersøge mulighederne for i fremtiden at indføre basisindkomst (borgerløn) for alle.",1062,2018-02-06,"undersøge"
"16.5","Etablering af et pilotprojekt i Danmark med formål at undersøge mulighederne for i fremtiden at indføre basisindkomst (borgerløn) for alle.",1062,2018-02-06,"mulighederne"
"16.6","Etablering af et pilotprojekt i Danmark med formål at undersøge mulighederne for i fremtiden at indføre basisindkomst (borgerløn) for alle.",1062,2018-02-06,"fremtiden"
"16.7","Etablering af et pilotprojekt i Danmark med formål at undersøge mulighederne for i fremtiden at indføre basisindkomst (borgerløn) for alle.",1062,2018-02-06,"indføre"
"16.8","Etablering af et pilotprojekt i Danmark med formål at undersøge mulighederne for i fremtiden at indføre basisindkomst (borgerløn) for alle.",1062,2018-02-06,"basisindkomst"
"16.9","Etablering af et pilotprojekt i Danmark med formål at undersøge mulighederne for i fremtiden at indføre basisindkomst (borgerløn) for alle.",1062,2018-02-06,"borgerløn"
"17","Forslag om nedsat medielicens for unge og studerende",535,2018-02-06,"forslag"
"17.1","Forslag om nedsat medielicens for unge og studerende",535,2018-02-06,"nedsat"
"17.2","Forslag om nedsat medielicens for unge og studerende",535,2018-02-06,"medielicens"
"17.3","Forslag om nedsat medielicens for unge og studerende",535,2018-02-06,"unge"
"17.4","Forslag om nedsat medielicens for unge og studerende",535,2018-02-06,"studerende"
"18","Afskaf eller omform hundeloven!",2085,2018-02-06,"afskaf"
"18.1","Afskaf eller omform hundeloven!",2085,2018-02-06,"omform"
"18.2","Afskaf eller omform hundeloven!",2085,2018-02-06,"hundeloven"
"19","Udfasning af egenbetalingen til daginstutioner",80,2018-02-06,"udfasning"
"19.1","Udfasning af egenbetalingen til daginstutioner",80,2018-02-06,"egenbetalingen"
"19.2","Udfasning af egenbetalingen til daginstutioner",80,2018-02-06,"daginstutioner"
"20","Statens logningsbekendtgørelse skal annulleres",570,2018-02-08,"statens"
"20.1","Statens logningsbekendtgørelse skal annulleres",570,2018-02-08,"logningsbekendtgørelse"
"20.2","Statens logningsbekendtgørelse skal annulleres",570,2018-02-08,"annulleres"
"21","Vi har aldrig stemt for EU. Folkeafstemning NU!",713,2018-02-08,"vi"
"21.1","Vi har aldrig stemt for EU. Folkeafstemning NU!",713,2018-02-08,"aldrig"
"21.2","Vi har aldrig stemt for EU. Folkeafstemning NU!",713,2018-02-08,"stemt"
"21.3","Vi har aldrig stemt for EU. Folkeafstemning NU!",713,2018-02-08,"eu"
"21.4","Vi har aldrig stemt for EU. Folkeafstemning NU!",713,2018-02-08,"folkeafstemning"
"21.5","Vi har aldrig stemt for EU. Folkeafstemning NU!",713,2018-02-08,"nu"
"22","Online valg",201,2018-02-09,"online"
"22.1","Online valg",201,2018-02-09,"valg"
"23","Dansk udmeldelse af EU",1080,2018-02-09,"dansk"
"23.1","Dansk udmeldelse af EU",1080,2018-02-09,"udmeldelse"
"23.2","Dansk udmeldelse af EU",1080,2018-02-09,"eu"
"24","Automatisk tilmelding til organdonation",1432,2018-02-09,"automatisk"
"24.1","Automatisk tilmelding til organdonation",1432,2018-02-09,"tilmelding"
"24.2","Automatisk tilmelding til organdonation",1432,2018-02-09,"organdonation"
"25","Genindførsel af revisionspligt.",148,2018-02-09,"genindførsel"
"25.1","Genindførsel af revisionspligt.",148,2018-02-09,"revisionspligt"
"26","Et opgør med centraliseringen",70,2018-02-09,"et"
"26.1","Et opgør med centraliseringen",70,2018-02-09,"opgør"
"26.2","Et opgør med centraliseringen",70,2018-02-09,"centraliseringen"
"27","Afskaffelse af sommertid",6675,2018-02-12,"afskaffelse"
"27.1","Afskaffelse af sommertid",6675,2018-02-12,"sommertid"
"28","Nej til syge borgere på kontanthjælp",420,2018-02-12,"nej"
"28.1","Nej til syge borgere på kontanthjælp",420,2018-02-12,"syge"
"28.2","Nej til syge borgere på kontanthjælp",420,2018-02-12,"borgere"
"28.3","Nej til syge borgere på kontanthjælp",420,2018-02-12,"kontanthjælp"
"29","""Gratis Tandlæge"" Det bør være gratis at gå til tandlægen for borgerne i Danmark.",4059,2018-02-12,"gratis"
"29.1","""Gratis Tandlæge"" Det bør være gratis at gå til tandlægen for borgerne i Danmark.",4059,2018-02-12,"tandlæge"
"29.2","""Gratis Tandlæge"" Det bør være gratis at gå til tandlægen for borgerne i Danmark.",4059,2018-02-12,"det"
"29.3","""Gratis Tandlæge"" Det bør være gratis at gå til tandlægen for borgerne i Danmark.",4059,2018-02-12,"bør"
"29.4","""Gratis Tandlæge"" Det bør være gratis at gå til tandlægen for borgerne i Danmark.",4059,2018-02-12,"gratis"
"29.5","""Gratis Tandlæge"" Det bør være gratis at gå til tandlægen for borgerne i Danmark.",4059,2018-02-12,"gå"
"29.6","""Gratis Tandlæge"" Det bør være gratis at gå til tandlægen for borgerne i Danmark.",4059,2018-02-12,"tandlægen"
"29.7","""Gratis Tandlæge"" Det bør være gratis at gå til tandlægen for borgerne i Danmark.",4059,2018-02-12,"borgerne"
"29.8","""Gratis Tandlæge"" Det bør være gratis at gå til tandlægen for borgerne i Danmark.",4059,2018-02-12,"danmark"
"30","Restriktioner på psykofarmaka",249,2018-02-12,"restriktioner"
"30.1","Restriktioner på psykofarmaka",249,2018-02-12,"psykofarmaka"
"31","Elefantræs på motorvejen",241,2018-02-12,"elefantræs"
"31.1","Elefantræs på motorvejen",241,2018-02-12,"motorvejen"
"32","Arveafgift",21289,2018-02-12,"arveafgift"
"33","Legalisering cannabis",11306,2018-02-12,"legalisering"
"33.1","Legalisering cannabis",11306,2018-02-12,"cannabis"
"34","Forslag om borgerløn uden modkrav, i en forsøgsordning i 4 år. For langtidsledige, langtidssyge, og borgere under længerevarende uddannelse.",651,2018-02-12,"forslag"
"34.1","Forslag om borgerløn uden modkrav, i en forsøgsordning i 4 år. For langtidsledige, langtidssyge, og borgere under længerevarende uddannelse.",651,2018-02-12,"borgerløn"
"34.2","Forslag om borgerløn uden modkrav, i en forsøgsordning i 4 år. For langtidsledige, langtidssyge, og borgere under længerevarende uddannelse.",651,2018-02-12,"uden"
"34.3","Forslag om borgerløn uden modkrav, i en forsøgsordning i 4 år. For langtidsledige, langtidssyge, og borgere under længerevarende uddannelse.",651,2018-02-12,"modkrav"
"34.4","Forslag om borgerløn uden modkrav, i en forsøgsordning i 4 år. For langtidsledige, langtidssyge, og borgere under længerevarende uddannelse.",651,2018-02-12,"forsøgsordning"
"34.5","Forslag om borgerløn uden modkrav, i en forsøgsordning i 4 år. For langtidsledige, langtidssyge, og borgere under længerevarende uddannelse.",651,2018-02-12,"4"
"34.6","Forslag om borgerløn uden modkrav, i en forsøgsordning i 4 år. For langtidsledige, langtidssyge, og borgere under længerevarende uddannelse.",651,2018-02-12,"år"
"34.7","Forslag om borgerløn uden modkrav, i en forsøgsordning i 4 år. For langtidsledige, langtidssyge, og borgere under længerevarende uddannelse.",651,2018-02-12,"for"
"34.8","Forslag om borgerløn uden modkrav, i en forsøgsordning i 4 år. For langtidsledige, langtidssyge, og borgere under længerevarende uddannelse.",651,2018-02-12,"langtidsledige"
"34.9","Forslag om borgerløn uden modkrav, i en forsøgsordning i 4 år. For langtidsledige, langtidssyge, og borgere under længerevarende uddannelse.",651,2018-02-12,"langtidssyge"
"34.10","Forslag om borgerløn uden modkrav, i en forsøgsordning i 4 år. For langtidsledige, langtidssyge, og borgere under længerevarende uddannelse.",651,2018-02-12,"borgere"
"34.11","Forslag om borgerløn uden modkrav, i en forsøgsordning i 4 år. For langtidsledige, langtidssyge, og borgere under længerevarende uddannelse.",651,2018-02-12,"længerevarende"
"34.12","Forslag om borgerløn uden modkrav, i en forsøgsordning i 4 år. For langtidsledige, langtidssyge, og borgere under længerevarende uddannelse.",651,2018-02-12,"uddannelse"
"35","At der indføres et nationalt DNA register for hunde og katte.",73,2018-02-12,"at"
"35.1","At der indføres et nationalt DNA register for hunde og katte.",73,2018-02-12,"indføres"
"35.2","At der indføres et nationalt DNA register for hunde og katte.",73,2018-02-12,"nationalt"
"35.3","At der indføres et nationalt DNA register for hunde og katte.",73,2018-02-12,"dna"
"35.4","At der indføres et nationalt DNA register for hunde og katte.",73,2018-02-12,"register"
"35.5","At der indføres et nationalt DNA register for hunde og katte.",73,2018-02-12,"hunde"
"35.6","At der indføres et nationalt DNA register for hunde og katte.",73,2018-02-12,"katte"
"36","Mist ikke synet, hvis du er blevet 65 år, for så får du ingen hjælp!",239,2018-02-13,"mist"
"36.1","Mist ikke synet, hvis du er blevet 65 år, for så får du ingen hjælp!",239,2018-02-13,"synet"
"36.2","Mist ikke synet, hvis du er blevet 65 år, for så får du ingen hjælp!",239,2018-02-13,"blevet"
"36.3","Mist ikke synet, hvis du er blevet 65 år, for så får du ingen hjælp!",239,2018-02-13,"65"
"36.4","Mist ikke synet, hvis du er blevet 65 år, for så får du ingen hjælp!",239,2018-02-13,"år"
"36.5","Mist ikke synet, hvis du er blevet 65 år, for så får du ingen hjælp!",239,2018-02-13,"så"
"36.6","Mist ikke synet, hvis du er blevet 65 år, for så får du ingen hjælp!",239,2018-02-13,"får"
"36.7","Mist ikke synet, hvis du er blevet 65 år, for så får du ingen hjælp!",239,2018-02-13,"ingen"
"36.8","Mist ikke synet, hvis du er blevet 65 år, for så får du ingen hjælp!",239,2018-02-13,"hjælp"
"37","Stop Hovedstadens Letbane",860,2018-02-13,"stop"
"37.1","Stop Hovedstadens Letbane",860,2018-02-13,"hovedstadens"
"37.2","Stop Hovedstadens Letbane",860,2018-02-13,"letbane"
"38","Genindfør den tidligere fleksjobreform (før 2013)",4218,2018-02-13,"genindfør"
"38.1","Genindfør den tidligere fleksjobreform (før 2013)",4218,2018-02-13,"tidligere"
"38.2","Genindfør den tidligere fleksjobreform (før 2013)",4218,2018-02-13,"fleksjobreform"
"38.3","Genindfør den tidligere fleksjobreform (før 2013)",4218,2018-02-13,"før"
"38.4","Genindfør den tidligere fleksjobreform (før 2013)",4218,2018-02-13,"2013"
"39","Forslag til Planloven - tid til forandring og retfærdighed!",17,2018-02-14,"forslag"
"39.1","Forslag til Planloven - tid til forandring og retfærdighed!",17,2018-02-14,"planloven"
"39.2","Forslag til Planloven - tid til forandring og retfærdighed!",17,2018-02-14,"tid"
"39.3","Forslag til Planloven - tid til forandring og retfærdighed!",17,2018-02-14,"forandring"
"39.4","Forslag til Planloven - tid til forandring og retfærdighed!",17,2018-02-14,"retfærdighed"
"40","Fredning af dyr skal standse slagteri-industri",362,2018-02-19,"fredning"
"40.1","Fredning af dyr skal standse slagteri-industri",362,2018-02-19,"dyr"
"40.2","Fredning af dyr skal standse slagteri-industri",362,2018-02-19,"standse"
"40.3","Fredning af dyr skal standse slagteri-industri",362,2018-02-19,"slagteri"
"40.4","Fredning af dyr skal standse slagteri-industri",362,2018-02-19,"industri"
"41","Ændringsforslag til ændring af færdelsloven hvorved motorcykler tillades at kører mellem trafikken, ved langsom eller stillestående trafik.",4797,2018-02-19,"ændringsforslag"
"41.1","Ændringsforslag til ændring af færdelsloven hvorved motorcykler tillades at kører mellem trafikken, ved langsom eller stillestående trafik.",4797,2018-02-19,"ændring"
"41.2","Ændringsforslag til ændring af færdelsloven hvorved motorcykler tillades at kører mellem trafikken, ved langsom eller stillestående trafik.",4797,2018-02-19,"færdelsloven"
"41.3","Ændringsforslag til ændring af færdelsloven hvorved motorcykler tillades at kører mellem trafikken, ved langsom eller stillestående trafik.",4797,2018-02-19,"hvorved"
"41.4","Ændringsforslag til ændring af færdelsloven hvorved motorcykler tillades at kører mellem trafikken, ved langsom eller stillestående trafik.",4797,2018-02-19,"motorcykler"
"41.5","Ændringsforslag til ændring af færdelsloven hvorved motorcykler tillades at kører mellem trafikken, ved langsom eller stillestående trafik.",4797,2018-02-19,"tillades"
"41.6","Ændringsforslag til ændring af færdelsloven hvorved motorcykler tillades at kører mellem trafikken, ved langsom eller stillestående trafik.",4797,2018-02-19,"kører"
"41.7","Ændringsforslag til ændring af færdelsloven hvorved motorcykler tillades at kører mellem trafikken, ved langsom eller stillestående trafik.",4797,2018-02-19,"mellem"
"41.8","Ændringsforslag til ændring af færdelsloven hvorved motorcykler tillades at kører mellem trafikken, ved langsom eller stillestående trafik.",4797,2018-02-19,"trafikken"
"41.9","Ændringsforslag til ændring af færdelsloven hvorved motorcykler tillades at kører mellem trafikken, ved langsom eller stillestående trafik.",4797,2018-02-19,"ved"
"41.10","Ændringsforslag til ændring af færdelsloven hvorved motorcykler tillades at kører mellem trafikken, ved langsom eller stillestående trafik.",4797,2018-02-19,"langsom"
"41.11","Ændringsforslag til ændring af færdelsloven hvorved motorcykler tillades at kører mellem trafikken, ved langsom eller stillestående trafik.",4797,2018-02-19,"stillestående"
"41.12","Ændringsforslag til ændring af færdelsloven hvorved motorcykler tillades at kører mellem trafikken, ved langsom eller stillestående trafik.",4797,2018-02-19,"trafik"
